incineratorname,reportyear,generalwaste,bizgeneralwaste,incinprocqt
高雄市政府環境保護局中區資源回收廠,2018,218521,0,188568.2
高雄市政府環境保護局中區資源回收廠,2017,234197.6,0,224688.5
高雄市政府環境保護局中區資源回收廠,2016,232464.2,0,213472.9
高雄市政府環境保護局中區資源回收廠,2015,230327.9,0,202815.7
高雄市政府環境保護局中區資源回收廠,2014,228343.6,0,196789.6
高雄市政府環境保護局中區資源回收廠,2013,200998.7,0,178042.3
高雄市政府環境保護局中區資源回收廠,2012,208423.2,0,177793.1
高雄市政府環境保護局中區資源回收廠,2011,174293.7,0,158602.4
高雄市政府環境保護局中區資源回收廠,2010,125213.4,0,96668.6
高雄市政府環境保護局中區資源回收廠,2009,247149,0,203472.8
高雄市政府環境保護局中區資源回收廠,2008,261466.7,0,205196.7
高雄市政府環境保護局中區資源回收廠,2007,265451.7,0,215784.8
高雄市政府環境保護局中區資源回收廠,2006,263682.4,0,220307
高雄市政府環境保護局中區資源回收廠,2005,278205.1,0,241812.4
高雄市政府環境保護局中區資源回收廠,2004,277327.2,0,242063
高雄市政府環境保護局中區資源回收廠,2003,293217.7,0,245923
高雄市岡山垃圾資源回收(焚化)廠,2021,158107,187259.3,343792.9
高雄市岡山垃圾資源回收(焚化)廠,2020,146402.4,203996.5,347578
高雄市岡山垃圾資源回收(焚化)廠,2019,155533.8,211834.8,362618.6
高雄市岡山垃圾資源回收(焚化)廠,2018,152976.3,173452.1,334157
高雄市岡山垃圾資源回收(焚化)廠,2017,172396.8,49922.85,225867.2
高雄市岡山垃圾資源回收(焚化)廠,2016,113923.8,148971.7,284293
高雄市岡山垃圾資源回收(焚化)廠,2015,128215.7,180741.4,322821.8
高雄市岡山垃圾資源回收(焚化)廠,2014,112858.7,172828.5,295494.1
高雄市岡山垃圾資源回收(焚化)廠,2013,110397.5,193197.2,314713.1
高雄市岡山垃圾資源回收(焚化)廠,2012,141690,195319.4,346537.8
高雄市岡山垃圾資源回收(焚化)廠,2011,137979.3,191586,327320.3
高雄市岡山垃圾資源回收(焚化)廠,2010,133944.8,191936.7,307782.6
高雄市岡山垃圾資源回收(焚化)廠,2009,121605,186247.9,300474.4
高雄市岡山垃圾資源回收(焚化)廠,2008,130936.9,145998.2,301235.6
高雄市岡山垃圾資源回收(焚化)廠,2007,153662.5,142711.6,307171.4
高雄市岡山垃圾資源回收(焚化)廠,2006,103822.4,164206.3,273450.1
高雄市岡山垃圾資源回收(焚化)廠,2005,204149.4,140233.8,335541.9
高雄市岡山垃圾資源回收(焚化)廠,2004,191257,139557.2,330880.6
高雄市岡山垃圾資源回收(焚化)廠,2003,223502.9,160638.1,366980
高雄市仁武垃圾資源回收(焚化)廠,2021,295869.7,102229.4,402992.6
高雄市仁武垃圾資源回收(焚化)廠,2020,258743.6,148720.6,416277.6
高雄市仁武垃圾資源回收(焚化)廠,2019,282020.7,145218.6,415968.4
高雄市仁武垃圾資源回收(焚化)廠,2018,225457.4,203360.5,398870.5
高雄市仁武垃圾資源回收(焚化)廠,2017,269282.3,148589.5,420963
高雄市仁武垃圾資源回收(焚化)廠,2016,186930.8,246410.2,421507.5
高雄市仁武垃圾資源回收(焚化)廠,2015,187143.8,265327.9,424346.8
高雄市仁武垃圾資源回收(焚化)廠,2014,182538.9,268076.1,425679.5
高雄市仁武垃圾資源回收(焚化)廠,2013,183003.3,244313,391243.9
高雄市仁武垃圾資源回收(焚化)廠,2012,182736.3,266366.8,434466.8
高雄市仁武垃圾資源回收(焚化)廠,2011,185131.2,266818.3,443461
高雄市仁武垃圾資源回收(焚化)廠,2010,211222.7,240981.8,441411.1
高雄市仁武垃圾資源回收(焚化)廠,2009,204116.5,171019.8,349248.1
高雄市仁武垃圾資源回收(焚化)廠,2008,206423,167601.8,378263.3
高雄市仁武垃圾資源回收(焚化)廠,2007,203377.4,224084,422433.8
高雄市仁武垃圾資源回收(焚化)廠,2006,186022.9,185183.5,380822.2
高雄市仁武垃圾資源回收(焚化)廠,2005,188021.9,192394.1,367571.8
高雄市仁武垃圾資源回收(焚化)廠,2004,206660.3,227336.2,388598.8
高雄市仁武垃圾資源回收(焚化)廠,2003,233635.4,144984.9,338023
桃園市垃圾焚化廠,2021,367511.5,41400.53,415434.8
桃園市垃圾焚化廠,2020,378192.1,48459.42,427118.8
桃園市垃圾焚化廠,2019,373022.9,56306.07,427231.2
桃園市垃圾焚化廠,2018,380212,60808.7,439825.1
桃園市垃圾焚化廠,2017,411119.9,29843,440703.9
桃園市垃圾焚化廠,2016,374306.5,51360.47,416432.4
桃園市垃圾焚化廠,2015,381471.9,58840.25,433255.6
桃園市垃圾焚化廠,2014,379187.3,63214.85,433480.2
桃園市垃圾焚化廠,2013,379329.9,62674.1,435095.1
桃園市垃圾焚化廠,2012,380359.1,60869.84,435505.1
桃園市垃圾焚化廠,2011,379117.5,59421.53,433400.3
桃園市垃圾焚化廠,2010,379068.6,59393.22,433740.6
桃園市垃圾焚化廠,2009,373613.6,59015.79,429715.1
桃園市垃圾焚化廠,2008,375000.2,58956.36,430379.7
桃園市垃圾焚化廠,2007,382716.3,58241.2,438707.3
桃園市垃圾焚化廠,2006,383036.4,58215.56,433413.8
桃園市垃圾焚化廠,2005,378588.2,58784.74,431713.4
